site_id,fold,model,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw
1. Load Profile (With Solar Installed) SoL,9,direct_hgb,45.95007879819611,65.31842393670864,37.35620925821964,6.049379545566136,6.428998121391693,6.9353291263633725,9.473302963989651,6.80400249340715,0.8333333333333334,1.0,0.9090909090909091,0.0,3.0,0.6,1.0,0.0,16.789958834608683
1. Load Profile (With Solar Installed) SoL,9,enhanced,38.40024700191189,44.550814285880946,-28.68363513175861,5.055435699648301,5.120615049285418,4.9815016195209765,6.461321868873233,4.640709821445932,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,52.66071426743645
1. Load Profile (With Solar Installed) SoL,9,enhanced_late_peak_uplift,38.40024700191189,44.550814285880946,-28.68363513175861,5.055435699648301,5.120615049285418,4.9815016195209765,6.461321868873233,4.640709821445932,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,52.66071426743645
1. Load Profile (With Solar Installed) SoL,9,enhanced_md_calibrated,34.159624375896776,40.164320194754865,-24.443012505743493,4.497152962268363,4.641556636430005,4.524838260130598,5.825137084083374,4.183783353620298,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,31.541361542812183
1. Load Profile (With Solar Installed) SoL,9,enhanced_peak_confirmed,38.40024700191189,44.550814285880946,-28.68363513175861,5.055435699648301,5.120615049285418,4.9815016195209765,6.461321868873233,4.640709821445932,1.6666666666666667,1.0,1.25,0.0,1.0,0.4,1.0,1.0,52.66071426743645
1. Load Profile (With Solar Installed) SoL,9,enhanced_peak_priority,38.40024700191189,44.550814285880946,-28.68363513175861,5.055435699648301,5.120615049285418,4.9815016195209765,6.461321868873233,4.640709821445932,0.5,1.0,0.6666666666666666,0.0,5.0,0.8,1.0,1.0,52.66071426743645
1. Load Profile (With Solar Installed) SoL,9,ridge_only,45.03966396686158,54.38877959505468,-26.86491636731022,5.9295224092412395,6.032517791648441,5.888274838721589,7.8881478745547025,5.665497874484862,1.0,1.0,1.0,0.0,0.0,1.0,2.0,1.0,21.03006318923667
1. Load Profile (With Solar Installed) SoL,9,seasonal,30.02500000000001,37.79293364285623,-21.80416666666669,3.9528250137136602,4.2351062851197625,4.110314053820805,5.481208650160439,3.936763921130857,1.0,1.0,1.0,0.0,1.0,0.8,3.0,2.0,46.19999999999993
1. Load Profile (With Solar Installed) SoL,10,direct_hgb,60.087284256994394,77.30239891605332,56.56256449787579,8.026352881214812,8.153996169293098,8.811404540007949,11.342978564351183,8.285358940627365,0.8,0.8,0.8000000000000002,1.0,1.0,0.2,16.0,2.0,49.415902114233745
1. Load Profile (With Solar Installed) SoL,10,enhanced,28.355501207493102,36.62751121489497,-17.28387548788302,3.7876775698771885,3.73513581634261,3.6768551987834854,5.374543098297134,3.9257782652620548,0.6,0.6,0.6,2.0,0.0,0.4,14.0,4.0,22.87829626164671
1. Load Profile (With Solar Installed) SoL,10,enhanced_late_peak_uplift,28.355501207493102,36.62751121489497,-17.28387548788302,3.7876775698771885,3.73513581634261,3.6768551987834854,5.374543098297134,3.9257782652620548,0.6,0.6,0.6,2.0,0.0,0.4,14.0,4.0,22.87829626164671
1. Load Profile (With Solar Installed) SoL,10,enhanced_md_calibrated,24.00432482042814,34.31540527988766,-12.017511521231429,3.2064551438207562,3.249679232576587,3.202053618210146,5.035275903138322,3.6779641243180774,0.6,0.6,0.6,2.0,0.0,0.4,14.0,4.0,3.093202929861718
