policy,alert_quantile,match_window_intervals,score_smoothing_window,mae_kw,rmse_kw,mean_error_kw,wape_pct,smape_pct,mape_pct,nrmse_by_median_pct,nrmse_by_peak_pct,peak_precision,peak_recall,peak_f1,peak_false_negative_count,peak_false_positive_count,peak_capture_rate_at_k,md_peak_rank,peak_time_error_intervals,md_abs_error_kw,site_id,fold,cutoff
strict_15pct,0.85,2.0,1.0,91.01833470188238,107.67463725263175,42.4666569836534,13.242240742271926,12.76848923462067,13.441315204999594,16.106901608471464,12.833687396022855,0.125,0.2,0.15384615384615385,4.0,7.0,0.2,40.0,23.0,41.13606495989484,2. Load Profile (No Solar) E,7,2736
current_20pct,0.8,2.0,1.0,91.01833470188238,107.67463725263175,42.4666569836534,13.242240742271926,12.76848923462067,13.441315204999594,16.106901608471464,12.833687396022855,0.1,0.2,0.13333333333333333,4.0,9.0,0.2,40.0,23.0,41.13606495989484,2. Load Profile (No Solar) E,7,2736
smoothed_20pct,0.8,2.0,3.0,91.01833470188238,107.67463725263175,42.4666569836534,13.242240742271926,12.76848923462067,13.441315204999594,16.106901608471464,12.833687396022855,0.0,0.0,0.0,5.0,10.0,0.0,43.0,23.0,41.13606495989484,2. Load Profile (No Solar) E,7,2736
strict_15pct,0.85,2.0,1.0,89.83682054703691,117.77182924166172,41.806114034967145,13.513953386999818,13.49417538947317,14.781047343977235,17.69674368770274,13.158863602420304,0.625,1.0,0.7692307692307693,0.0,2.0,0.2,32.0,14.0,66.67138211806537,2. Load Profile (No Solar) E,8,2784
current_20pct,0.8,2.0,1.0,89.83682054703691,117.77182924166172,41.806114034967145,13.513953386999818,13.49417538947317,14.781047343977235,17.69674368770274,13.158863602420304,0.5,1.0,0.6666666666666666,0.0,2.0,0.2,32.0,14.0,66.67138211806537,2. Load Profile (No Solar) E,8,2784
smoothed_20pct,0.8,2.0,3.0,89.83682054703691,117.77182924166172,41.806114034967145,13.513953386999818,13.49417538947317,14.781047343977235,17.69674368770274,13.158863602420304,0.5,1.0,0.6666666666666666,0.0,0.0,0.2,26.0,14.0,66.67138211806537,2. Load Profile (No Solar) E,8,2784
catch_more_25pct,0.75,2.0,1.0,89.83682054703691,117.77182924166172,41.806114034967145,13.513953386999818,13.49417538947317,14.781047343977235,17.69674368770274,13.158863602420304,0.4166666666666667,1.0,0.5882352941176471,0.0,2.0,0.2,32.0,14.0,66.67138211806537,2. Load Profile (No Solar) E,8,2784
strict_15pct,0.85,2.0,1.0,87.84931777723511,113.73060361986505,-52.738055878401546,11.95330457042063,12.7989546104052,11.798842964966132,15.611613400118744,11.921446920321284,0.5,0.8,0.6153846153846154,1.0,2.0,0.2,2.0,4.0,85.53623997137413,2. Load Profile (No Solar) E,9,2832
current_20pct,0.8,2.0,1.0,87.84931777723511,113.73060361986505,-52.738055878401546,11.95330457042063,12.7989546104052,11.798842964966132,15.611613400118744,11.921446920321284,0.4,0.8,0.5333333333333333,1.0,4.0,0.2,2.0,4.0,85.53623997137413,2. Load Profile (No Solar) E,9,2832
smoothed_20pct,0.8,2.0,3.0,87.84931777723511,113.73060361986505,-52.738055878401546,11.95330457042063,12.7989546104052,11.798842964966132,15.611613400118744,11.921446920321284,0.4,0.8,0.5333333333333333,1.0,1.0,0.4,5.0,4.0,85.53623997137413,2. Load Profile (No Solar) E,9,2832
catch_more_25pct,0.75,2.0,1.0,87.84931777723511,113.73060361986505,-52.738055878401546,11.95330457042063,12.7989546104052,11.798842964966132,15.611613400118744,11.921446920321284,0.3333333333333333,0.8,0.47058823529411764,1.0,4.0,0.2,2.0,4.0,85.53623997137413,2. Load Profile (No Solar) E,9,2832
strict_15pct,0.85,2.0,1.0,120.90032073974838,132.0392559970382,-2.9699533257256547,17.05072835465821,17.39929962013031,17.527397701792133,18.91679885344387,14.352093043156327,0.5,0.8,0.6153846153846154,1.0,1.0,0.4,6.0,31.0,10.527566624309543,2. Load Profile (No Solar) E,10,2880
current_20pct,0.8,2.0,1.0,120.90032073974838,132.0392559970382,-2.9699533257256547,17.05072835465821,17.39929962013031,17.527397701792133,18.91679885344387,14.352093043156327,0.4,0.8,0.5333333333333333,1.0,1.0,0.4,6.0,31.0,10.527566624309543,2. Load Profile (No Solar) E,10,2880
smoothed_20pct,0.8,2.0,3.0,120.90032073974838,132.0392559970382,-2.9699533257256547,17.05072835465821,17.39929962013031,17.527397701792133,18.91679885344387,14.352093043156327,0.4,0.8,0.5333333333333333,1.0,1.0,0.4,7.0,31.0,10.527566624309543,2. Load Profile (No Solar) E,10,2880
catch_more_25pct,0.75,2.0,1.0,120.90032073974838,132.0392559970382,-2.9699533257256547,17.05072835465821,17.39929962013031,17.527397701792133,18.91679885344387,14.352093043156327,0.3333333333333333,0.8,0.47058823529411764,1.0,3.0,0.4,6.0,31.0,10.527566624309543,2. Load Profile (No Solar) E,10,2880
smoothed_20pct,0.8,2.0,3.0,70.01532285862625,107.0801383262058,-69.88531623276796,62.72204056910743,59.94045413373976,38.245859613716775,214.8207214785252,46.00891575249306,0.5,1.0,0.6666666666666666,0.0,3.0,0.8,1.0,8.0,188.78059748530274,3. Load Profile (No Solar) SuN,1,2352
catch_more_25pct,0.75,2.0,1.0,70.01532285862625,107.0801383262058,-69.88531623276796,62.72204056910743,59.94045413373976,38.245859613716775,214.8207214785252,46.00891575249306,0.4166666666666667,1.0,0.5882352941176471,0.0,5.0,0.8,2.0,8.0,188.78059748530274,3. Load Profile (No Solar) SuN,1,2352
